Time,Browser,OS
2014-08-01T00:10:10.000Z,Firefox,OSX
2014-08-01T00:10:10.000Z,Firefox,Windows
2014-08-01T00:10:10.000Z,Firefox,Linux
2014-08-01T00:10:10.000Z,Chrome,Windows
2014-08-01T00:10:10.000Z,Chrome,OSX
2014-08-01T00:10:10.000Z,Safari,OSX
2014-08-01T00:10:10.000Z,IE,Windows
2014-08-01T00:10:11.000Z,Firefox,OSX
2014-08-01T00:10:11.000Z,Firefox,Windows
2014-08-01T00:10:11.000Z,Firefox,Linux
2014-08-01T00:10:11.000Z,Chrome,Windows
2014-08-01T00:10:11.000Z,Chrome,OSX
2014-08-01T00:10:11.000Z,Safari,OSX
2014-08-01T00:10:11.000Z,IE,Windows
2014-08-01T00:10:12.000Z,Firefox,OSX
2014-08-01T00:10:12.000Z,Firefox,Windows
2014-08-01T00:10:12.000Z,Firefox,Linux
2014-08-01T00:10:12.000Z,Chrome,Windows
2014-08-01T00:10:12.000Z,Chrome,OSX
2014-08-01T00:10:12.000Z,Safari,OSX
2014-08-01T00:10:12.000Z,IE,Windows
2014-08-01T00:10:13.000Z,Firefox,OSX
2014-08-01T00:10:13.000Z,Firefox,Windows
2014-08-01T00:10:13.000Z,Firefox,Linux
2014-08-01T00:10:13.000Z,Chrome,Windows
2014-08-01T00:10:13.000Z,Chrome,OSX
2014-08-01T00:10:13.000Z,Safari,OSX
2014-08-01T00:10:13.000Z,IE,Windows
2014-08-01T00:10:14.000Z,Firefox,OSX
2014-08-01T00:10:14.000Z,Firefox,Windows
2014-08-01T00:10:14.000Z,Firefox,Linux
2014-08-01T00:10:14.000Z,Chrome,Windows
2014-08-01T00:10:14.000Z,Chrome,OSX
2014-08-01T00:10:14.000Z,Safari,OSX
2014-08-01T00:10:14.000Z,IE,Windows
2014-08-01T00:10:15.000Z,Firefox,OSX
2014-08-01T00:10:15.000Z,Firefox,Windows
2014-08-01T00:10:15.000Z,Firefox,Linux
2014-08-01T00:10:15.000Z,Chrome,Windows
2014-08-01T00:10:15.000Z,Chrome,OSX
2014-08-01T00:10:15.000Z,Safari,OSX
2014-08-01T00:10:15.000Z,IE,Windows
2014-08-01T00:10:16.000Z,Firefox,OSX
2014-08-01T00:10:16.000Z,Firefox,Windows
2014-08-01T00:10:16.000Z,Firefox,Linux
2014-08-01T00:10:16.000Z,Chrome,Windows
2014-08-01T00:10:16.000Z,Chrome,OSX
2014-08-01T00:10:16.000Z,Safari,OSX
2014-08-01T00:10:16.000Z,IE,Windows
2014-08-01T00:10:17.000Z,Firefox,OSX
2014-08-01T00:10:17.000Z,Firefox,Windows
2014-08-01T00:10:17.000Z,Firefox,Linux
2014-08-01T00:10:17.000Z,Chrome,Windows
2014-08-01T00:10:17.000Z,Chrome,OSX
2014-08-01T00:10:17.000Z,Safari,OSX
2014-08-01T00:10:17.000Z,IE,Windows
2014-08-01T00:10:18.000Z,Firefox,OSX
2014-08-01T00:10:18.000Z,Firefox,Windows
2014-08-01T00:10:18.000Z,Firefox,Linux
2014-08-01T00:10:18.000Z,Chrome,Windows
2014-08-01T00:10:18.000Z,Chrome,OSX
2014-08-01T00:10:18.000Z,Safari,OSX
2014-08-01T00:10:18.000Z,IE,Windows
2014-08-01T00:10:19.000Z,Firefox,OSX
2014-08-01T00:10:19.000Z,Firefox,Windows
2014-08-01T00:10:19.000Z,Firefox,Linux
2014-08-01T00:10:19.000Z,Chrome,Windows
2014-08-01T00:10:19.000Z,Chrome,OSX
2014-08-01T00:10:19.000Z,Safari,OSX
2014-08-01T00:10:19.000Z,IE,Windows
2014-08-01T00:10:20.000Z,Firefox,OSX
2014-08-01T00:10:20.000Z,Firefox,Windows
2014-08-01T00:10:20.000Z,Firefox,Linux
2014-08-01T00:10:20.000Z,Chrome,Windows
2014-08-01T00:10:20.000Z,Chrome,OSX
2014-08-01T00:10:20.000Z,Safari,OSX
2014-08-01T00:10:20.000Z,IE,Windows
2014-08-01T00:10:21.000Z,Firefox,OSX
2014-08-01T00:10:21.000Z,Firefox,Windows
2014-08-01T00:10:21.000Z,Firefox,Linux
2014-08-01T00:10:21.000Z,Chrome,Windows
2014-08-01T00:10:21.000Z,Chrome,OSX
2014-08-01T00:10:21.000Z,Safari,OSX
2014-08-01T00:10:21.000Z,IE,Windows
2014-08-01T00:10:22.000Z,Firefox,OSX
2014-08-01T00:10:22.000Z,Firefox,Windows
2014-08-01T00:10:22.000Z,Firefox,Linux
2014-08-01T00:10:22.000Z,Chrome,Windows
2014-08-01T00:10:22.000Z,Chrome,OSX
2014-08-01T00:10:22.000Z,Safari,OSX
2014-08-01T00:10:22.000Z,IE,Windows
2014-08-01T00:10:23.000Z,Firefox,OSX
2014-08-01T00:10:23.000Z,Firefox,Windows
2014-08-01T00:10:23.000Z,Firefox,Linux
2014-08-01T00:10:23.000Z,Chrome,Windows
2014-08-01T00:10:23.000Z,Chrome,OSX
2014-08-01T00:10:23.000Z,Safari,OSX
2014-08-01T00:10:23.000Z,IE,Windows
2014-08-01T00:10:24.000Z,Firefox,OSX
2014-08-01T00:10:24.000Z,Firefox,Windows
2014-08-01T00:10:24.000Z,Firefox,Linux
2014-08-01T00:10:24.000Z,Chrome,Windows
2014-08-01T00:10:24.000Z,Chrome,OSX
2014-08-01T00:10:24.000Z,Safari,OSX
2014-08-01T00:10:24.000Z,IE,Windows
2014-08-01T00:10:25.000Z,Firefox,OSX
2014-08-01T00:10:25.000Z,Firefox,Windows
2014-08-01T00:10:25.000Z,Firefox,Linux
2014-08-01T00:10:25.000Z,Chrome,Windows
2014-08-01T00:10:25.000Z,Chrome,OSX
2014-08-01T00:10:25.000Z,Safari,OSX
2014-08-01T00:10:25.000Z,IE,Windows
2014-08-01T00:10:26.000Z,Firefox,OSX
2014-08-01T00:10:26.000Z,Firefox,Windows
2014-08-01T00:10:26.000Z,Firefox,Linux
2014-08-01T00:10:26.000Z,Chrome,Windows
2014-08-01T00:10:26.000Z,Chrome,OSX
2014-08-01T00:10:26.000Z,Safari,OSX
2014-08-01T00:10:26.000Z,IE,Windows
2014-08-01T00:10:27.000Z,Firefox,OSX
2014-08-01T00:10:27.000Z,Firefox,Windows
2014-08-01T00:10:27.000Z,Firefox,Linux
2014-08-01T00:10:27.000Z,Chrome,Windows
2014-08-01T00:10:27.000Z,Chrome,OSX
2014-08-01T00:10:27.000Z,Safari,OSX
2014-08-01T00:10:27.000Z,IE,Windows
2014-08-01T00:10:28.000Z,Firefox,OSX
2014-08-01T00:10:28.000Z,Firefox,Windows
2014-08-01T00:10:28.000Z,Firefox,Linux
2014-08-01T00:10:28.000Z,Chrome,Windows
2014-08-01T00:10:28.000Z,Chrome,OSX
2014-08-01T00:10:28.000Z,Safari,OSX
2014-08-01T00:10:28.000Z,IE,Windows
2014-08-01T00:10:29.000Z,Firefox,OSX
2014-08-01T00:10:29.000Z,Firefox,Windows
2014-08-01T00:10:29.000Z,Firefox,Linux
2014-08-01T00:10:29.000Z,Chrome,Windows
2014-08-01T00:10:29.000Z,Chrome,OSX
2014-08-01T00:10:29.000Z,Safari,OSX
2014-08-01T00:10:29.000Z,IE,Windows
2014-08-01T00:10:30.000Z,Firefox,OSX
2014-08-01T00:10:30.000Z,Firefox,Windows
2014-08-01T00:10:30.000Z,Firefox,Linux
2014-08-01T00:10:30.000Z,Chrome,Windows
2014-08-01T00:10:30.000Z,Chrome,OSX
2014-08-01T00:10:30.000Z,Safari,OSX
2014-08-01T00:10:30.000Z,IE,Windows
2014-08-01T00:10:31.000Z,Firefox,OSX
2014-08-01T00:10:31.000Z,Firefox,Windows
2014-08-01T00:10:31.000Z,Firefox,Linux
2014-08-01T00:10:31.000Z,Chrome,Windows
2014-08-01T00:10:31.000Z,Chrome,OSX
