Symbol	Type	StockExchange	Name	MarketCapitalization	EBITDA
AAPL	Technology	NASDAQ	Apple Inc.	588900.00	57795.00
MSFT	Technology	NASDAQ	Microsoft Corpora	366600.00	33098.00
GOOG	Technology	NASDAQ	Google Inc.	398100.00	19424.00
IBM	Technology	NYSE	International Bus	194000.00	25288.00
ORCL	Technology	NYSE	Oracle Corporatio	179700.00	16717.00
FB	Technology	NASDAQ	Facebook, Inc.	192500.00	5519.00
AMZN	Technology	NASDAQ	Amazon.com, Inc.	149000.00	3790.00
EBAY	Technology	NASDAQ	eBay Inc.	65474.00	4972.00
PCLN	Technology	NASDAQ	The Priceline Gro	64354.00	2681.00
AOL	Technology	NYSE	AOL Inc. AOL Inc.	3103.00	434.70
YHOO	Technology	NASDAQ	Yahoo! Inc.	36648.00	772.60
LNKD	Technology	NYSE	LinkedIn Corporat	21605.00	166.30
TWTR	Technology	NYSE	Twitter, Inc. Com	22283.00	-616.30
INTC	Technology	NASDAQ	Intel Corporation	170600.00	21856.00
ZNGA	Technology	NASDAQ	Zynga Inc.	2662.00	32.60
GRPN	Technology	NASDAQ	Groupon, Inc.	4236.00	117.60
YNDX	Technology	NASDAQ	Yandex N.V.	9809.00	533.10
ADBE	Technology	NASDAQ	Adobe Systems Inc	36119.00	747.80
BIDU	Technology	NASDAQ	Baidu, Inc.	79367.00	2317.00
KING	Technology	NYSE	King Digital Ente	5861.00	817.20
NFLX	Technology	NASDAQ	Netflix, Inc.	25350.00	416.30
RENN	Technology	NYSE	Renren Inc. Ameri	1191.00	-99.50
ZEN	Technology	NYSE	Zendesk, Inc. Com	1197.00	-22.10
ADSK	Technology	NASDAQ	Autodesk, Inc.	12585.00	392.20
SYMC	Technology	NASDAQ	Symantec Corporat	16483.00	1944.00
VMW	Technology	NYSE	Vmware, Inc. Comm	41807.00	1457.00
RHT	Technology	NYSE	Red Hat, Inc. Com	10718.00	306.20
EA	Technology	NASDAQ	Electronic Arts I	11281.00	366.00
SAP	Technology	NYSE	SAP  SE ADS	96373.00	7901.00
CA	Technology	NASDAQ	CA Inc.	12993.00	1538.00
INTU	Technology	NASDAQ	Intuit Inc.	23458.00	1499.00
FISV	Technology	NASDAQ	Fiserv, Inc.	15619.00	1423.00
CTXS	Technology	NASDAQ	Citrix Systems, I	11515.00	695.10
CSCO	Technology	NASDAQ	Cisco Systems, In	133000.00	12871.00
NCR	Technology	NYSE	NCR Corporation C	5334.00	930.00
DBD	Technology	NYSE	Diebold, Incorpor	2466.00	223.80
HPQ	Technology	NYSE	Hewlett-Packard C	66302.00	13106.00
AMD	Technology	NYSE	Advanced Micro De	2873.00	476.00
SNDK	Technology	NASDAQ	SanDisk Corporati	21032.00	2346.00
WDC	Technology	NASDAQ	Western Digital C	23356.00	3184.00
STX	Technology	NASDAQ	Seagate Technolog	19456.00	2685.00
