Country	Population 
China	1365650000
India	1246800000
United States	318406000
Indonesia	252164800
Brazil	202866000
Pakistan	188020000
Nigeria	178517000
Bangladesh	156642000
Russia	146068400
Japan	127090000
Mexico	119713203
Philippines	99877700
Vietnam	89708900
Ethiopia	87952991
Egypt	86821000
Germany	80716000
Iran	77589000
Turkey	76667864
Democratic Republic of the Congo	69360000
France	65931000
Thailand	64456700
United Kingdom	64105700
Italy	60768217
Burma	60380000
South Africa	52981991
South Korea	50423955
Colombia	47684000
Spain	46609700
Kenya	45546000
Tanzania	44928923
Ukraine	42825883
Argentina	42669500
Algeria	38700000
Poland	38496000
Sudan	37289406
Iraq	36004552
Canada	35427524
Uganda	35357000
Morocco	33322100
Peru	30814175
Uzbekistan	30492800
Venezuela	30206307
Malaysia	30196000
Saudi Arabia	29994272
Ghana	27043093	
Nepal	26494504
Afghanistan	25500100
Yemen	25235000
North Korea	25027000
Mozambique	23700715
Australia	23562300
Taiwan	23392036
Ivory Coast	23202000
Syria	21987000
Madagascar	21263403
Cameroon	20386799
Sri Lanka	20277597
Romania	19942642
Angola	19183590
Chile	17773000
Burkina Faso	17322796
Kazakhstan	17244000
Niger	17138707
Netherlands	16859700
Malawi	16829000
Guatemala	15806675
Ecuador	15784700
Mali	15768000
Cambodia	15184116
Zambia	15023315
Chad	13211000
Zimbabwe	13061239
Senegal	12873601
South Sudan	11739000
Belgium	11198638
Cuba	11167325
Greece	11123034
Tunisia	10886500
Somalia	10806000
Guinea	10628972
Rwanda	10537222
Czech Republic	10517400
Portugal	10477800
Haiti	10413211
Bolivia	10027254
Benin	9988068
Hungary	9879000
Sweden	9684858
Azerbaijan	9477100
Belarus	9467000
United Arab Emirates	9446000
Dominican Republic	9445281
Burundi	9420248
Honduras	8555072
Austria	8504850
Israel	8193900	
Switzerland	8160900
Tajikistan	8160000
Papua New Guinea	7398500
Bulgaria	7245677
Hong Kong (China)	7219700
Serbia	7146759
Togo	6993000
Paraguay	6783374
Laos	6693300
Jordan	6607980
Eritrea	6536000
El Salvador	6384000
Libya	6253000
Sierra Leone	6190280
Nicaragua	6071045
Kyrgyzstan	5776570
Denmark	5634437
Finland	5458038
Slovakia	5415949
Singapore	5399200
Turkmenistan	5307000
Norway	5124383
Lebanon	4966000
Central African Republic	4709000
Costa Rica	4667096
Ireland	4593100
Republic of the Congo	4559000
New Zealand	4541330
Georgia	4490500
Palestine	4420549
Liberia	4397000
Croatia	4290612
Oman	4020000
Bosnia and Herzegovina	3791622
Puerto Rico (USA)	3615086
Moldova	3557600
Mauritania	3461041
Panama	3405813
Uruguay	3286314
Kuwait	3065850
Armenia	3017400
Lithuania	2939431
Mongolia	2931300
Albania	2895947
Jamaica	2717991
Qatar	2174035
Namibia	2113077
Lesotho	2098000
Slovenia	2063316
Macedonia	2062294
Botswana	2024904
Latvia	1996500
Gambia	1882450
Kosovo	1815606
Guinea-Bissau	1746000
Gabon	1711000
Equatorial Guinea	1622000
Trinidad and Tobago	1328019
Estonia	1315819
Swaziland	1268000
Mauritius	1257900
Bahrain	1234571
Timor-Leste	1212107
Djibouti	886000
Cyprus	865878
Fiji	858038
Réunion (France)	840974
Guyana	784894
Bhutan	749630
Comoros	743798
Montenegro	620029
Macau (China)	614500
Western Sahara	586000
Solomon Islands	581344
Luxembourg	549700
Suriname	534189
Cape Verde	491875
Malta	416055
Guadeloupe (France)	405739
Brunei	393162
Martinique (France)	392291
Bahamas	351461
Belize	349728
Iceland	326340
Maldives	317280
Northern Cyprus	294906
Barbados	285000
French Polynesia (France)	268270
Vanuatu	264652
New Caledonia (France)	258958
Abkhazia	240705
French Guiana (France)	237549
Mayotte (France)	212645
Samoa	187820
São Tomé and Príncipe	187356
Saint Lucia	180000
Guam (USA)	159358
Curaçao (Netherlands)	150563
Saint Vincent and the Grenadines	109000
Kiribati	106461
United States Virgin Islands (USA)	106405
Grenada	103328
Tonga	103036
Aruba (Netherlands)	101484
Federated States of Micronesia	101351
Jersey (UK)	99000
Seychelles	90945
Antigua and Barbuda	86295
Isle of Man (UK)	84497
Andorra	76098
Dominica	71293
Bermuda (UK)	64237
Guernsey (UK)	63085
Greenland (Denmark)	56483
Marshall Islands	56086
American Samoa (USA)	55519
Cayman Islands (UK)	55456
South Ossetia	55000
Saint Kitts and Nevis	55000
Northern Mariana Islands (USA)	53883
Faroe Islands (Denmark)	48359
Sint Maarten (Netherlands)	37429
Liechtenstein	37132
Saint Martin (France)	36979
Monaco	36950
San Marino	33664
Turks and Caicos Islands (UK)	31458
Gibraltar (UK)	30001
British Virgin Islands (UK)	29537
Åland Islands (Finland)	28502
Caribbean Netherlands (Netherlands)	23296
Palau	20901
Cook Islands (NZ)	14974
Anguilla (UK)	13452
Wallis and Futuna (France)	13135
Tuvalu	11323
Nauru	9945
Saint Barthélemy (France)	8938
Saint Pierre and Miquelon (France)	6081
Montserrat (UK)	4922
Saint Helena, Ascension and Tristan da Cunha (UK)	4000
Falkland Islands (UK)	3000
Svalbard and Jan Mayen (Norway)	2655
Norfolk Island (Australia)	2302
Christmas Island (Australia)	2072
Niue (NZ)	1613
Tokelau (NZ)	1411	
Vatican City	839
Cocos (Keeling) Islands (Australia)	596
Pitcairn Islands (UK)	56	
