FID,publicid,origintime,longitude,latitude,depth,magnitude,magnitudetype,status,phases,type,agency,updatetime,origin_geom
quake.2013p550753,2013p550753,2013-07-23T18:41:11.707,174.4298,-41.5313,7.9883,2.2425,M,automatic,27,,WEL(GNS_Primary),2013-07-23T18:43:15.672,POINT (174.42978 -41.531299)
quake.2013p550747,2013p550747,2013-07-23T18:38:02.481,174.414,-41.5181,11.6797,1.7892,M,automatic,11,,WEL(GNS_Primary),2013-07-23T18:39:25.37,POINT (174.41398 -41.518114)
quake.2013p550725,2013p550725,2013-07-23T18:26:30.229,175.5516,-40.0264,8.75,3.4562,M,automatic,21,,WEL(GNS_Primary),2013-07-23T18:29:46.305,POINT (175.55155 -40.026412)
quake.2013p550724,2013p550724,2013-07-23T18:25:52.618,174.2292,-41.6837,11.2109,4.3132,M,automatic,106,,WEL(GNS_Primary),2013-07-23T18:31:38.905,POINT (174.22922 -41.683674)
quake.2013p550719,2013p550719,2013-07-23T18:23:04.562,174.0623,-41.6946,5.1172,1.886,M,automatic,13,,WEL(GNS_Primary),2013-07-23T18:24:34.329,POINT (174.06232 -41.694622)
quake.2013p550707,2013p550707,2013-07-23T18:16:41.795,174.1772,-41.7113,18.0078,2.7007,M,automatic,36,,WEL(GNS_Primary),2013-07-23T18:21:05.283,POINT (174.17721 -41.711342)
quake.2013p550696,2013p550696,2013-07-23T18:11:13.808,174.3964,-41.6919,7.6953,2.2645,M,automatic,18,,WEL(GNS_Primary),2013-07-23T18:14:26.088,POINT (174.39635 -41.691918)
quake.2013p550685,2013p550685,2013-07-23T18:05:20.677,175.4547,-38.8079,140.4688,2.1231,M,automatic,16,,WEL(GNS_Primary),2013-07-23T18:07:43.845,POINT (175.45467 -38.807933)
quake.2013p550676,2013p550676,2013-07-23T18:01:08.435,174.2831,-41.6327,21.2891,3.4336,M,automatic,78,,WEL(GNS_Primary),2013-07-23T18:04:52.877,POINT (174.28309 -41.632706)
quake.2013p550656,2013p550656,2013-07-23T17:50:01.564,174.3607,-41.6244,10.0977,2.5328,M,automatic,39,,WEL(GNS_Primary),2013-07-23T17:53:32.731,POINT (174.3607 -41.624352)
quake.2013p550639,2013p550639,2013-07-23T17:40:58.613,167.5654,-45.1528,106.4844,3.3467,M,automatic,18,,WEL(GNS_Primary),2013-07-23T17:44:42.334,POINT (167.56535 -45.152772)
quake.2013p550626,2013p550626,2013-07-23T17:33:41.661,174.2668,-41.675,5.0586,2.3805,M,automatic,24,,WEL(GNS_Primary),2013-07-23T17:35:53.386,POINT (174.2668 -41.674977)
quake.2013p550623,2013p550623,2013-07-23T17:32:15.04,174.3556,-41.5858,5.0586,2.2963,M,automatic,22,,WEL(GNS_Primary),2013-07-23T17:34:16.064,POINT (174.35555 -41.585832)
quake.2013p550609,2013p550609,2013-07-23T17:24:30.87,174.2196,-41.6342,5.1172,2.2306,M,automatic,18,,WEL(GNS_Primary),2013-07-23T17:26:50.155,POINT (174.2196 -41.634177)
quake.2013p550598,2013p550598,2013-07-23T17:18:53.637,174.3878,-41.529,5.1172,2.0296,M,automatic,13,,WEL(GNS_Primary),2013-07-23T17:20:54.574,POINT (174.38775 -41.529019)
quake.2013p550587,2013p550587,2013-07-23T17:13:47.503,174.2576,-41.6488,5.6445,3.4652,M,automatic,75,,WEL(GNS_Primary),2013-07-23T17:20:23.347,POINT (174.25755 -41.648847)
quake.2013p550576,2013p550576,2013-07-23T17:06:55.593,174.1842,-41.5197,19.8828,2.3822,M,automatic,16,,WEL(GNS_Primary),2013-07-23T17:09:06.859,POINT (174.18424 -41.519691)
quake.2013p550558,2013p550558,2013-07-23T16:57:41.898,174.2321,-41.6229,5.3516,2.7051,M,automatic,26,,WEL(GNS_Primary),2013-07-23T17:01:10.57,POINT (174.23209 -41.622866)
quake.2013p550549,2013p550549,2013-07-23T16:52:50.013,174.2858,-41.6297,5.0586,2.3956,M,automatic,20,,WEL(GNS_Primary),2013-07-23T16:55:28.542,POINT (174.28585 -41.629659)
quake.2013p550545,2013p550545,2013-07-23T16:50:42.2,176.732,-39.5607,25.7422,2.2227,M,automatic,29,,WEL(GNS_Primary),2013-07-23T16:52:37.509,POINT (176.73204 -39.560724)
quake.2013p550538,2013p550538,2013-07-23T16:46:44.168,174.3338,-41.5187,14.1406,2.1202,M,automatic,16,,WEL(GNS_Primary),2013-07-23T16:48:36.418,POINT (174.3338 -41.518673)
quake.2013p550529,2013p550529,2013-07-23T16:42:19.669,174.1726,-41.7112,18.9453,2.5327,M,automatic,29,,WEL(GNS_Primary),2013-07-23T16:45:51.266,POINT (174.1726 -41.711207)
quake.2013p550514,2013p550514,2013-07-23T16:34:19.725,174.2362,-41.6261,5.0586,2.253,M,automatic,17,,WEL(GNS_Primary),2013-07-23T16:37:23.311,POINT (174.23623 -41.626116)
quake.2013p550510,2013p550510,2013-07-23T16:32:12.908,178.667,-35.874,154.7129,3.76,M,automatic,27,,WEL(GNS_Primary),2013-07-23T16:35:54.897,POINT (178.66699 -35.874023)
quake.2013p550507,2013p550507,2013-07-23T16:31:20.374,174.3866,-41.5317,11.8555,3.6498,M,automatic,88,,WEL(GNS_Primary),2013-07-23T16:59:28.237,POINT (174.38659 -41.531696)
quake.2013p550501,2013p550501,2013-07-23T16:27:33.271,174.334,-41.601,10.918,2.8207,M,automatic,50,,WEL(GNS_Primary),2013-07-23T16:29:55.959,POINT (174.33404 -41.601048)
quake.2013p550486,2013p550486,2013-07-23T16:19:14.012,174.0989,-41.6465,7.9297,1.8727,M,automatic,13,,WEL(GNS_Primary),2013-07-23T16:21:24.019,POINT (174.09893 -41.646479)
quake.2013p550481,2013p550481,2013-07-23T16:16:23.072,174.2715,-41.6065,5.8203,2.1614,M,automatic,16,,WEL(GNS_Primary),2013-07-23T16:19:40.805,POINT (174.27153 -41.606509)
quake.2013p550474,2013p550474,2013-07-23T16:12:43.304,174.2032,-41.6512,5.1172,2.2939,M,automatic,21,,WEL(GNS_Primary),2013-07-23T16:14:54.591,POINT (174.20318 -41.651211)
quake.2013p550460,2013p550460,2013-07-23T16:05:19.855,173.929,-41.5716,14.3164,1.7733,M,automatic,10,,WEL(GNS_Primary),2013-07-23T16:06:53.466,POINT (173.92905 -41.571618)
quake.2013p550447,2013p550447,2013-07-23T15:58:35.484,174.2331,-41.6106,5.4102,2.5871,M,automatic,23,,WEL(GNS_Primary),2013-07-23T16:02:35.578,POINT (174.23314 -41.610593)
quake.2013p550445,2013p550445,2013-07-23T15:57:17.955,174.3303,-41.6001,5.0586,2.0615,M,automatic,14,,WEL(GNS_Primary),2013-07-23T15:59:12.204,POINT (174.33032 -41.600104)
quake.2013p550434,2013p550434,2013-07-23T15:52:04.976,174.4263,-41.5393,10.9766,2.8187,M,automatic,57,,WEL(GNS_Primary),2013-07-23T15:55:46.253,POINT (174.4263 -41.539329)
quake.2013p550424,2013p550424,2013-07-23T15:46:15.179,175.531,-40.3793,6.875,2.3788,M,automatic,11,,WEL(GNS_Primary),2013-07-23T15:48:51.537,POINT (175.53103 -40.379273)
quake.2013p550423,2013p550423,2013-07-23T15:45:43.721,174.2658,-41.6872,5.1172,3.0964,M,automatic,52,,WEL(GNS_Primary),2013-07-23T15:49:22.995,POINT (174.26576 -41.687249)
quake.2013p550420,2013p550420,2013-07-23T15:44:01.043,174.364,-41.5442,5.1172,2.0332,M,automatic,11,,WEL(GNS_Primary),2013-07-23T15:46:00.476,POINT (174.36396 -41.544167)
quake.2013p550416,2013p550416,2013-07-23T15:42:10.347,174.3609,-41.6123,9.9805,2.8354,M,automatic,41,,WEL(GNS_Primary),2013-07-23T15:45:40.012,POINT (174.36093 -41.612265)
quake.2013p550406,2013p550406,2013-07-23T15:36:33.186,173.7048,-40.8335,114.2188,3.2935,M,automatic,74,,WEL(GNS_Primary),2013-07-23T15:46:20.182,POINT (173.70479 -40.833506)
quake.2013p550378,2013p550378,2013-07-23T15:21:33.201,175.9478,-38.837,10.0977,2.3514,M,automatic,66,,WEL(GNS_Primary),2013-07-23T15:24:34.717,POINT (175.94776 -38.836995)
quake.2013p550377,2013p550377,2013-07-23T15:21:22.934,174.3534,-41.6164,5.1172,2.1688,M,automatic,23,,WEL(GNS_Primary),2013-07-23T15:24:19.304,POINT (174.35337 -41.616422)
quake.2013p550368,2013p550368,2013-07-23T15:16:06.71,174.2701,-41.6056,8.6328,2.2067,M,automatic,14,,WEL(GNS_Primary),2013-07-23T15:18:09.026,POINT (174.27012 -41.605633)
quake.2013p550366,2013p550366,2013-07-23T15:14:23.213,170.7942,-42.8906,12.5,3.6913,M,automatic,11,,WEL(GNS_Primary),2013-07-23T15:17:54.055,POINT (170.79424 -42.890553)
quake.2013p550356,2013p550356,2013-07-23T15:10:30.351,174.2833,-41.6002,7.6953,2.582,M,automatic,27,,WEL(GNS_Primary),2013-07-23T15:12:45.261,POINT (174.28327 -41.600181)
quake.2013p550340,2013p550340,2013-07-23T15:01:35.81,174.2885,-41.6585,5.0586,1.5895,M,automatic,10,,WEL(GNS_Primary),2013-07-23T15:03:01.63,POINT (174.28854 -41.658515)
